seq,name,thickness,elasticModulus,density,tensileStrength
42,腐殖土,0.4,,,
41,粉砂岩,8.07,,,
40,黏土,45,,,
39,15-3煤,0.76,,,
38,泥岩,25.58,,,
37,中砾岩,13.31,,,
36,砂质泥岩,6.55,,,
35,15-4煤,0.4,,,
34,砂质泥岩,27.6,,,
33,15-5上煤,0.4,,,
32,中砾岩,12.8,,,
31,泥岩,8.77,,,
30,中砾岩,8.23,,,
29,泥岩,5.32,,,
28,中砾岩,14.88,,,
27,泥岩,8.1,,,
26,中砾岩,18,,,
25,泥岩,7.45,,,
24,中砾岩,24.65,,,
23,泥岩,4.5,,,
22,中砾岩,13.2,,,
21,泥岩,4.8,,,
20,中砾岩,59.73,,,
19,泥岩,11.47,,,
18,中砾岩,5.9,,,
17,粉砂质泥岩,41.9,,,
16,中砾岩,6.9,,,
15,泥岩,5.2,,,
14,中砾岩,8,,,
13,泥岩,7.5,,,
12,粗砂岩,6.6,,,
11,煤,0.8,,,
10,粗砂岩,3.9,,,
9,16-3上煤,3.48,,,
8,泥岩,6.22,,,
7,16-3中煤,1,,,
6,泥岩,3.9,,,
5,煤,0.3,,,
4,泥岩,4.2,,,
3,16-3煤,20.2,,,
2,泥岩,1.9,,,
1,粗砂岩,14.18,,,
