seq,name,thickness,elasticModulus,density,tensileStrength
52,腐殖土,0.8,,,
51,细砂岩,53.65,,,
50,含砾细砂岩,14.85,,,
49,砾岩,2.8,,,
48,泥岩,11.25,,,
47,粉砂岩,8,,,
46,泥岩,16.3,,,
45,中砾岩,8.4,,,
44,细砂岩,13,,,
43,粉砂岩,28.15,,,
42,中砾岩,16.85,,,
41,中砂岩,19.45,,,
40,粉砂岩,5.4,,,
39,炭质泥岩,1.7,,,
38,粉砂岩,1.1,,,
37,炭质泥岩,0.7,,,
36,粉砂岩,8.8,,,
35,煤3,0.2,,,
34,粉砂岩,12.6,,,
33,15-7煤,0.6,,,
32,含砾粉砂岩,46.9,,,
31,中砾岩,0.65,,,
30,粉砂岩,4,,,
29,中砾岩,2.5,,,
28,含砾粉砂岩,8.3,,,
27,中砾岩,1.2,,,
26,含砾粉砂岩,2.4,,,
25,中砾岩,6.55,,,
24,粉砂岩,22.05,,,
23,16-2上煤,0.7,,,
22,粉砂岩,2,,,
21,16-2下煤,0.8,,,
20,粉砂岩,24,,,
19,泥岩,0.5,,,
18,煤2,0.2,,,
17,粉砂岩,17.9,,,
16,炭质泥岩,1,,,
15,粉砂岩,14.9,,,
14,细砂岩,6.65,,,
13,粉砂岩,2.6,,,
12,煤1,0.3,,,
11,粉砂岩,9.25,,,
10,16-3上煤,5.8,,,
9,粉砂岩,1.05,,,
8,炭质泥岩,0.4,,,
7,粉砂岩,0.45,,,
6,泥岩,0.55,,,
5,16-3中煤,1.5,,,
4,泥岩,1.25,,,
3,16-3煤,19.3,,,
2,粉砂岩,19,,,
1,粗砂岩,11.4,,,
